code,name
1.1.1.1,Obsługa urzędu Prezydenta RP
1.1.1.2,Obsługa urzędu Biura Bezpieczeństwa Narodowego
1.2.1.1,Obsługa merytoryczna Sejmu i jego organów
1.2.1.2,Obsługa merytoryczna Senatu i jego organów
1.2.2.1,Zapewnienie warunków działalności Sejmu i jego organów oraz wykonywania mandatu posła
1.2.2.2,Zapewnienie warunków działalności Senatu i jego organów oraz wykonywania mandatu senatora
1.3.1.1,Obsługa Prezesa Rady Ministrów i Rady Ministrów
1.3.1.2,Przeprowadzanie badań opinii społecznej
1.3.1.3,"Przygotowywanie i pozyskiwanie informacji, analiz oraz dokumentów i propozycji decyzji o charakterze strategicznym"
1.3.1.4,"Rozpatrywanie skarg, wniosków i petycji"
1.3.2.1,Obsługa prawna Rady Ministrów i Prezesa Rady Ministrów
1.3.2.2,"Redagowanie i udostępnianie Dziennika Ustaw Rzeczypospolitej Polskiej oraz Dziennika Urzędowego Rzeczypospolitej Polskiej ""Monitor Polski"""
1.3.2.3,Prowadzenie działalności szkoleniowej
1.3.3.1,Nadzór nad członkami służby cywilnej oraz ich rozwój zawodowy
1.3.3.2,"Zapewnienie przygotowania członków korpusu służby cywilnej, w tym słuchaczy KSAP, do prawidłowego wykonywania zadań w urzędach"
1.4.1.1,Kontrola hierarchicznej zgodności norm prawnych
1.4.1.2,Obsługa merytoryczna i organizacyjna Trybunału Konstytucyjnego
1.5.1.1,Finansowanie działalności lokalnych organów wyborczych
1.5.1.2,Koordynacja organizacji wyborów realizowana przez jednostki KBW na szczeblu centralnym i poprzez delegatury KBW
1.5.2.1,Finansowanie działalności lokalnych organów wyborczych
1.5.2.2,Koordynacja organizacji wyborów realizowana przez jednostki KBW na szczeblu centralnym i poprzez delegatury KBW
1.5.3.1,Finansowanie działalności lokalnych organów wyborczych
1.5.3.2,Koordynacja organizacji wyborów realizowana przez jednostki KBW na szczeblu centralnym i poprzez delegatury KBW
1.5.4.1,Finansowanie działalności lokalnych organów wyborczych
1.5.4.2,Koordynacja organizacji wyborów realizowana przez jednostki KBW na szczeblu centralnym i poprzez delegatury KBW
1.5.4.3,"W Wybory uzupełniające, przedterminowe i ponowne"
1.5.4.4,W Prowadzenie spraw z ustanawianiem zarządów komisarycznych
1.5.5.1,Finansowanie działalności lokalnych organów wyborczych
1.5.5.2,Koordynacja organizacji wyborów realizowana przez jednostki KBW na szczeblu centralnym i poprzez delegatury KBW
1.5.6.1,Subwencje i dotacje dla partii politycznych i komitetów wyborczych
1.5.6.2,Kontrola finansowania partii politycznych i kampanii wyborczych
1.6.1.1,Prowadzenie kontroli procesu udzielania zamówień w zakresie przewidzianym ustawą
1.6.1.2,Poza kontrolne działania w zakresie przestrzegania zasad systemu zamówień
1.6.1.3,Działania związane z informatyzacją systemu zamówień publicznych
1.6.2.1,Funkcjonowanie systemu środków ochrony prawnej
