code,name
01,Kancelaria Prezydenta RP
02,Kancelaria Sejmu
03,Kancelaria Senatu
04,Sąd Najwyższy
05,Naczelny Sąd Administracyjny
06,Trybunał Konstytucyjny
07,Najwyższa Izba Kontroli
08,Rzecznik Praw Obywatelskich
09,Krajowa Rada Radiofonii i Telewizji
10,Urząd Ochrony Danych Osobowych
11,Krajowe Biuro Wyborcze
12,Państwowa Inspekcja Pracy
13,Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu
14,Rzecznik Praw Dziecka
16,Kancelaria Prezesa Rady Ministrów
17,Administracja publiczna
18,"Budownictwo, planowanie i zagospodarowanie przestrzenne oraz mieszkalnictwo"
19,"Budżet, finanse publiczne i instytucje finansowe"
20,Gospodarka
21,Gospodarka morska
22,Gospodarka wodna
23,Członkostwo Rzeczypospolitej Polskiej w Unii Europejskiej
24,Kultura i ochrona dziedzictwa narodowego
25,Kultura fizyczna
26,Łączność
27,Informatyzacja
28,Szkolnictwo wyższe i nauka
29,Obrona narodowa
30,Oświata i wychowanie
31,Praca
32,Rolnictwo
33,Rozwój wsi
34,Rozwój regionalny
35,Rynki rolne
36,(uchylona)
37,Sprawiedliwość
38,(uchylona)
39,Transport
40,Turystyka
41,Środowisko
42,Sprawy wewnętrzne
43,Wyznania religijne oraz mniejszości narodowe i etniczne
44,Zabezpieczenie społeczne
45,Sprawy zagraniczne
46,Zdrowie
47,Energia
48,Gospodarka surowcami energetycznymi
49,Urząd Zamówień Publicznych
50,Urząd Regulacji Energetyki
51,Klimat
52,Krajowa Rada Sądownictwa
53,Urząd Ochrony Konkurencji i Konsumentów
54,Urząd do Spraw Kombatantów i Osób Represjonowanych
55,Aktywa państwowe
56,Centralne Biuro Antykorupcyjne
57,Agencja Bezpieczeństwa Wewnętrznego
58,Główny Urząd Statystyczny
59,Agencja Wywiadu
60,Wyższy Urząd Górniczy
61,Urząd Patentowy Rzeczypospolitej Polskiej
62,Rybołówstwo
63,Rodzina
64,Główny Urząd Miar
65,Polski Komitet Normalizacyjny
66,Rzecznik Praw Pacjenta
67,Polska Akademia Nauk
68,Państwowa Agencja Atomistyki
69,Żegluga śródlądowa
70,(uchylona)
71,Urząd Transportu Kolejowego
72,Kasa Rolniczego Ubezpieczenia Społecznego
73,Zakład Ubezpieczeń Społecznych
74,Prokuratoria Generalna Rzeczypospolitej Polskiej
75,Rządowe Centrum Legislacji
76,Urząd Komunikacji Elektronicznej
77,Podatki i inne wpłaty na rzecz budżetu państwa
78,(uchylona)
79,Obsługa długu Skarbu Państwa
80,Regionalne izby obrachunkowe
81,Rezerwa ogólna
82,Subwencje ogólne dla jednostek samorządu terytorialnego
83,Rezerwy celowe
84,Środki własne Unii Europejskiej
15,Samorządowe Kolegium Odwoławcze w Częstochowie
85,Samorządowe Kolegium Odwoławcze w Tarnowie
87,Samorządowe Kolegium Odwoławcze w Toruniu
89,Samorządowe Kolegium Odwoławcze w Wałbrzychu
91,Samorządowe Kolegium Odwoławcze we Włocławku
93,Samorządowe Kolegium Odwoławcze we Wrocławiu
95,Samorządowe Kolegium Odwoławcze w Zamościu
97,"Samorządowe Kolegium Odwoławcze w Zielonej Górze,"
88,Powszechne jednostki organizacyjne prokuratury
90,Akademia Kopernikańska
98,Przychody i rozchody związane z finansowaniem potrzeb pożyczkowych budżetu państwa.
