code,name
1,Zarządzanie państwem
2,Bezpieczeństwo wewnętrzne i porządek publiczny
3,"Edukacja, wychowanie i opieka"
4,Zarządzanie finansami państwa i mieniem państwowym
6,Polityka gospodarcza kraju
7,"Gospodarka przestrzenna, budownictwo i mieszkalnictwo"
8,Kultura fizyczna
9,Kultura i dziedzictwo narodowe
10,Szkolnictwo wyższe i nauka
11,Bezpieczeństwo zewnętrzne i nienaruszalność granic
12,Środowisko
13,Zabezpieczenie społeczne i wspieranie rodziny
14,Rynek pracy
15,Polityka zagraniczna
16,Sprawy obywatelskie
17,Kształtowanie rozwoju regionalnego kraju
18,Sprawiedliwość
19,Transport i infrastruktura transportowa
20,Zdrowie
21,Polityka rolna i rybacka
22,Koordynacja działalności oraz obsługa administracyjna i techniczna
