code,name
1.1.1,Obsługa i koordynacja urzędu Prezydenta RP
1.2.1,Wsparcie merytoryczne parlamentarzystów
1.2.2,Obsługa organizacyjna Parlamentu i jego organów
1.3.1,Obsługa i koordynacja prac rządu
1.3.2,"Obsługa działalności legislacyjnej Prezesa Rady Ministrów, Rady Ministrów i członków Rady Ministrów"
1.3.3,Zarządzanie korpusem służby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej
1.4.1,Działalność orzecznicza i obsługa Trybunału Konstytucyjnego
1.5.1,Wybory Prezydenta Rzeczpospolitej Polskiej
1.5.2,Wybory do Sejmu i Senatu
1.5.3,Wybory do Parlamentu Europejskiego
1.5.4,"Wybory do rad gmin, rad powiatów i sejmików województw, wybory wójtów, burmistrzów i prezydentów miast oraz referenda gminne, powiatowe i wojewódzkie"
1.5.5,Referenda ogólnokrajowe
1.5.6,Finansowanie partii politycznych
1.6.1,Kontrola procesu udzielania zamówień w zakresie przewidzianym ustawą
1.6.2,Funkcjonowanie systemu środków ochrony prawnej
1.7.1,Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników
1.7.2,Przygotowanie analizy wykonania budżetu państwa i założeń polityki pieniężnej oraz innych raportów dotyczących funkcjonowania państwa
1.7.3,Wykonywanie niekontrolnych funkcji naczelnego organu kontroli państwowej
1.8.1,Działanie KRRiT na rzecz rozwoju rynku audiowizualnego
1.8.2,Koncesjonowanie rozpowszechniania programów oraz dokonywanie wpisów do rejestru programów rozprowadzanych oraz programów telewizyjnych rozpowszechnianych wyłącznie w systemie teleinformatycznym
1.8.3,"Kontrola programów radiowych, telewizyjnych i audiowizualnych usług medialnych na żądanie oraz organizowanie badań treści i odbioru tych programów i usług"
1.8.4,Realizacja zadań wynikających z ustawy o opłatach abonamentowych
1.9.1,"Gromadzenie, opracowywanie, digitalizacja i udostępnianie dokumentów z archiwów IPN"
1.9.2,"Prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych oraz przeciwko ludzkości i innych"
1.9.3,"Opracowywanie i publikowanie informacji w BIP IPN oraz katalogach tematycznych, prowadzenie rejestru oświadczeń lustracyjnych i ich analiza,"
1.9.4,"Działalność edukacyjna, wystawiennicza, badawcza, wydawnicza i dokumentacyjna"
1.10.1,Działania nadzorczo-kontrolne RIO
1.11.1,Prace statystyczne i rozwojowe
1.11.2,Prowadzenie krajowych rejestrów urzędowych
1.11.3,Spisy powszechne
2.1.1,System bezpieczeństwa publicznego
2.1.2,"Bezpieczeństwo najważniejszych osób, obiektów i urządzeń w państwie"
2.1.3,Działania służby prewencyjnej
2.1.4,W Bezpieczeństwo w ruchu drogowym
2.1.5,W Działania na rzecz poprawy bezpieczeństwa powszechnego i porządku publicznego
2.1.6,Działania służb kryminalnej i śledczej
2.1.7,Zwalczanie korupcji
2.2.1,Realizacja zadań w zakresie postępowania karnego i pozakarnego
2.2.2,Realizacja zadań Prokuratora Generalnego
2.3.1,W Funkcjonowanie systemu ratowniczego i gaśniczego
2.3.2,W Zapobieganie zagrożeniom pożarowym oraz przeciwdziałanie poważnym awariom przemysłowym
2.3.3,W Obrona cywilna
2.4.1,"W Koordynacja przedsięwzięć z zakresu zarządzania kryzysowego i przeciwdziałanie zagrożeniom, w tym terrorystycznym"
2.4.2,W Przeciwdziałanie i usuwanie skutków klęsk żywiołowych
2.4.3,W System powiadamiania ratunkowego
2.5.1,Kontrola graniczna
2.5.2,W Realizacja polityki migracyjnej i azylowej oraz sprawy cudzoziemców
2.5.3,W Funkcjonowanie przejść granicznych
3.1.1,W Zarządzanie i nadzór nad systemem oświaty
3.1.2,"W Kształcenie ogólne, zawodowe i ustawiczne"
3.1.3,W Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej
3.1.4,Funkcjonowanie egzaminów zewnętrznych
3.1.5,"W Wspieranie dzieci i młodzieży ze specjalnymi potrzebami edukacyjnymi, w tym uczniów zdolnych"
3.1.6,W Edukacja pozalekcyjna i pozaszkolna
3.1.7,W Wspieranie działalności edukacyjno-wychowawczej
3.1.9,W Rozwój infrastruktury systemu oświaty
4.1.1,"W Pobór podatków, ceł i niepodatkowych należności budżetu państwa"
4.1.2,Kontrola celno-skarbowa oraz kontrola podatkowa
4.1.3,Zwalczanie przestępczości ekonomicznej
4.1.4,"Badania i analizy w zakresie finansów publicznych, budżetu i instytucji finansowych oraz upowszechnianie wiedzy i edukacja finansowa"
4.2.1,"Przygotowanie, opracowanie, wykonanie, kontrola realizacji oraz przygotowanie sprawozdań z wykonania budżetu państwa"
4.2.2,Zarządzanie i obsługa długu Skarbu Państwa
4.2.3,Subwencje ogólne dla jednostek samorządu terytorialnego
4.2.4,Płatność składki członkowskiej do budżetu UE
4.2.5,W Rezerwy ogólna i celowe
4.2.6,"Opinie, oceny i analizy polityki fiskalnej państwa"
4.3.1,Tworzenie i koordynacja regulacji dotyczących rynków finansowych
4.3.2,Nadzór nad rynkiem finansowym
4.4.1,W Zarządzanie mieniem państwowym
4.4.2,W Wykonywanie zastępstwa procesowego i rozstrzyganie sporów dotyczących praw i interesów Skarbu Państwa
4.4.3,"Wsparcie finansowo-kapitałowe udzielane wybranym podmiotom, niebędące pomocą publiczną"
4.5.1,W Roszczenia majątkowe wobec Skarbu Państwa i jst
4.6.1,"Nadzór właścicielski nad spółkami Skarbu Państwa, w których prawa z akcji i udziałów wykonuje minister właściwy do spraw aktywów państwowych"
6.1.1,Tworzenie warunków dla funkcjonowania przedsiębiorstw
6.1.2,W Tworzenie warunków do zwiększania innowacyjności przedsiębiorstw
6.1.3,Współpraca gospodarcza z zagranicą i promocja gospodarki polskiej za granicą
6.1.4,Wsparcie projektów inwestycyjnych
6.1.5,Organizacja i promocja działalności normalizacyjnej
6.1.6,Wykonywanie czynności z zakresu ochrony praw własności intelektualnej
6.1.7,"Wykonywanie czynności z dziedziny metrologii, probiernictwa i kas rejestrujących"
6.1.8,Wykonywanie czynności dozoru technicznego oraz zapewnienie i propagowanie bezpieczeństwa urządzeń technicznych
6.1.9,"Badanie i rozwój technologii kosmicznych oraz ich zastosowanie dla celów naukowych, gospodarczych i obronnych"
6.2.1,W Rynki paliw i energii
6.2.2,Rezerwy strategiczne oraz zapasy agencyjne ropy naftowej i paliw
6.2.3,Gospodarka złożami kopalin
6.3.1,W Regulacja i wspieranie rozwoju rynku telekomunikacyjnego oraz infrastruktury telekomunikacyjnej
6.3.2,Wsparcie rozwoju i regulacja rynku usług pocztowych
6.4.1,W Wsparcie i promocja turystyki
6.5.1,Ochrona konkurencji
6.5.2,W Ochrona konsumentów i nadzór rynku
6.5.3,Pomoc publiczna
6.5.4,W Jakość handlowa artykułów rolno-spożywczych
6.5.5,W Ochrona klientów podmiotów rynku finansowego
6.5.6,Przeciwdziałanie zatorom płatniczym
7.1.1,"Tworzenie i koordynacja regulacji w zakresie budownictwa, mieszkalnictwa i gospodarki nieruchomościami"
7.1.2,W Wsparcie mieszkalnictwa
