code,name
1.1,Obsługa merytoryczna i kancelaryjno-biurowa Prezydenta Rzeczypospolitej Polskiej
1.2,Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym
1.3,"Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów, Rady Ministrów i członków Rady Ministrów"
1.4,Działalność orzecznicza i obsługa Trybunału Konstytucyjnego
1.5,W Organizacja i przeprowadzanie wyborów
1.6,Nadzór nad systemem zamówień publicznych
1.7,"Ocena działalności organów administracji publicznej, Narodowego Banku Polskiego oraz jednostek organizacyjnych wydatkujących środki publiczne z punktu widzenia ustawowych kryteriów NIK"
1.8,"Ochrona wolności słowa, prawa do informacji oraz interesu publicznego w radiofonii i telewizji"
1.9,Działalność ustawowa Instytutu Pamięci Narodowej
1.10,Weryfikacja gospodarki finansowej jednostek samorządu terytorialnego
1.11,Statystyka publiczna
2.1,W Ochrona porządku publicznego oraz zwalczanie przestępczości
2.2,Ściganie przestępstw oraz stanie na straży praworządności przez prokuraturę
2.3,W System ochrony przeciwpożarowej i ratownictwa oraz ochrona ludności
2.4,W Zarządzanie kryzysowe oraz przeciwdziałanie i usuwanie skutków klęsk żywiołowych
2.5,W Bezpieczeństwo granicy zewnętrznej UE i terytorium RP
3.1,W Oświata i wychowanie
4.1,W Realizacja należności budżetu państwa
4.2,W Budżet państwa i realizacja wybranych wydatków
4.3,Nadzór nad rynkiem finansowym
4.4,W Zarządzanie mieniem państwowym i ochrona interesów Skarbu Państwa
4.5,W Roszczenia majątkowe wobec Skarbu Państwa i jst
4.6,Ochrona praw i interesów Skarbu Państwa
6.1,W Wsparcie konkurencyjności i innowacyjności gospodarki
6.2,"W Bezpieczeństwo gospodarcze państwa i gospodarka złożami kopalin, w tym surowcami energetycznymi"
6.3,W Regulacja i wspieranie rozwoju rynków telekomunikacyjnego i pocztowego oraz infrastruktury telekomunikacyjnej
6.4,W Wsparcie i promocja turystyki
6.5,W Ochrona konkurencji i konsumentów
7.1,W Budownictwo i mieszkalnictwo
7.2,"Planowanie, zagospodarowanie przestrzenne, rewitalizacja oraz polityka miejska"
7.3,W Geodezja i kartografia
